i,tau,f_x,f_b,delta_f,dist,rate,maha_x,maha_b,valid,id_gap
3,105.79882049560547,0.9999937054761968,0.0001787996152339216,0.9998149058609629,2.598924597311784,0.0,0.0,0.0,1,0.06636530579892769
4,0.010579882189631462,0.999967074581798,0.999964203337534,2.8712442640133062e-06,0.021883995852497513,0.0,0.0,0.0,1,0.27647728027339236
4,0.01579042710363865,0.999967074581798,0.9999629269499483,4.147631849749089e-06,0.030701269028876408,0.0,0.0,0.0,1,1.555693267540903e-06
4,0.023567141965031624,0.999967074581798,0.9999610453558658,6.02922593218036e-06,0.042764110209879864,0.0,0.0,0.0,1,-1.588555976328454e-05
4,0.03517385199666023,0.999967074581798,0.9999581600987594,8.914483038635623e-06,0.05930226905980724,0.0,0.0,0.0,1,-0.05446756200906738
4,0.05249682068824768,0.999967074581798,0.9999534920461393,1.358253565875156e-05,0.08200589397940158,0.0,0.0,0.0,1,3.45596456514663e-05
4,0.07835126668214798,0.999967074581798,0.9999454492026308,2.1625379167167225e-05,0.11309233051004249,0.0,0.0,0.0,1,0.09681690011984023
4,0.11693891882896423,0.999967074581798,0.9999305630529317,3.6511528866300935e-05,0.15542119121219877,0.0,0.0,0.0,1,-0.1914158395699791
4,0.17453081905841827,0.999967074581798,0.9999029482243994,6.412635739860839e-05,0.2126770640870656,0.0,0.0,0.0,1,-4.629365435659949e-06
4,0.2604864537715912,0.999967074581798,0.9998423388024058,0.00012473577939220437,0.28940611597883,0.0,0.0,0.0,1,4.245693130822126e-05
4,0.38877490162849426,0.999967074581798,0.9996905686170842,0.0002765059647138468,0.39053411265462395,0.0,0.0,0.0,1,4.122254970906347e-05
4,0.580244779586792,0.999967074581798,0.9992566162690332,0.000710458312764839,0.5202261262174543,0.0,0.0,0.0,1,-0.10262720118970126
4,0.8660127520561218,0.999967074581798,0.9977361927499504,0.0022308818318476087,0.6804100537359347,0.0,0.0,0.0,1,-0.15642540772562968
4,1.2925201654434204,0.999967074581798,0.9912333795919508,0.008733694989847218,0.8694293064625993,0.0,0.0,0.0,1,0.05156721092890326
4,1.929080605506897,0.999967074581798,0.9589852805485711,0.04098179403322688,1.0810785078827765,0.0,0.0,0.0,1,1.0924837309356228e-05
4,2.8791441917419434,0.999967074581798,0.7769631422384043,0.22300393234339366,1.3043740860137734,0.0,0.0,0.0,1,0.24133161821700266
4,4.297110080718994,0.999967074581798,0.3151690972137085,0.6847979773680894,1.524894031247694,0.0,0.0,0.0,1,0.1830062249856918
4,6.413417339324951,0.999967074581798,0.06344148898885131,0.9365255855929467,1.728067078349004,0.0,0.0,0.0,1,-2.184189982101792e-06
4,9.571996688842773,0.999967074581798,0.011631544237931116,0.9883355303438669,1.9030395040347996,0.0,0.0,0.0,1,-3.885258392344326e-06
4,14.286163330078125,0.999967074581798,0.0029605364386717926,0.9970065381431262,2.04487404311339,0.0,0.0,0.0,1,-8.220997366414906e-06
4,21.32203483581543,0.999967074581798,0.0010371509465107013,0.9989299236352873,2.154183510169912,0.0,0.0,0.0,1,-2.5425524396438526e-05
4,31.823041915893555,0.999967074581798,0.000488894366038851,0.9994781802157592,2.2351457335932188,0.0,0.0,0.0,1,0.03556771753503335
4,47.49574661254883,0.999967074581798,0.0003029149151612109,0.9996641596666368,2.2933491537045003,0.0,0.0,0.0,1,3.158652870149936e-06
4,70.88719177246094,0.999967074581798,0.00021593827238281568,0.9997511363094151,2.334294781404032,0.0,0.0,0.0,1,0.2588420585370605
4,105.79882049560547,0.999967074581798,0.0001712266257887792,0.9997958479560092,2.362661166846175,0.0,0.0,0.0,1,-1.2794180480613093e-06
5,0.010579882189631462,0.9999984815906163,0.9999984926447597,-1.1054143378430581e-08,0.028861981770699926,0.0,0.0,0.0,1,0.4591417163923067
5,0.01579042710363865,0.9999984815906163,0.9999984782638385,3.326777853196461e-09,0.03807553309912176,0.0,0.0,0.0,1,0.25013011395349555
5,0.023567141965031624,0.9999984815906163,0.9999984442436195,3.734699682844678e-08,0.049106928677815985,0.0,0.0,0.0,1,-1.1856483048688915e-06
5,0.03517385199666023,0.9999984815906163,0.9999983751628949,1.0642772141356005e-07,0.062362672597268826,0.0,0.0,0.0,1,0.24788892457846914
5,0.05249682068824768,0.9999984815906163,0.9999982118207192,2.697698970877127e-07,0.07885324556301966,0.0,0.0,0.0,1,-2.4776823148719984e-07
5,0.07835126668214798,0.9999984815906163,0.999997901203334,5.803872823451073e-07,0.1004578626256206,0.0,0.0,0.0,1,0.11253845630702397
5,0.11693891882896423,0.9999984815906163,0.9999973130252352,1.1685653811266405e-06,0.13006970713400245,0.0,0.0,0.0,1,-0.04197856584683901
5,0.17453081905841827,0.9999984815906163,0.9999961108325299,2.3707580864007483e-06,0.1717084785178269,0.0,0.0,0.0,1,5.228955322666984e-05
5,0.2604864537715912,0.9999984815906163,0.9999933264808594,5.155109756960208e-06,0.23061912487669461,0.0,0.0,0.0,1,-0.15324651064275785
5,0.38877490162849426,0.9999984815906163,0.9999855944429019,1.2887147714413238e-05,0.3130940132673466,0.0,0.0,0.0,1,0.011465822525457636
5,0.580244779586792,0.9999984815906163,0.999958944091983,3.953749863327971e-05,0.4256545992596194,0.0,0.0,0.0,1,0.34134212904366334
5,0.8660127520561218,0.9999984815906163,0.9998418206542802,0.00015666093633615041,0.5734187194241842,0.0,0.0,0.0,1,-2.4468027820523375e-06
5,1.2925201654434204,0.9999984815906163,0.9991640477999987,0.0008344337906176502,0.7577644410873068,0.0,0.0,0.0,1,0.1963439081173879
5,1.929080605506897,0.9999984815906163,0.993880506866383,0.006117974724233366,0.9739182556615024,0.0,0.0,0.0,1,0.4734594070871877
5,2.8791441917419434,0.9999984815906163,0.9367960133725602,0.06320246821805608,1.2098858180998513,0.0,0.0,0.0,1,-1.1663226373359592e-05
5,4.297110080718994,0.9999984815906163,0.5489693909263443,0.451029090664272,1.4482800550308197,0.0,0.0,0.0,1,0.2361550526351267
5,6.413417339324951,0.9999984815906163,0.09562769587058675,0.9043707857200296,1.6709985422796505,0.0,0.0,0.0,1,2.963847695047761e-07
5,9.571996688842773,0.9999984815906163,0.012175679704082995,0.9878228018865334,1.8643525082747447,0.0,0.0,0.0,1,0.00044903946582275367
5,14.286163330078125,0.9999984815906163,0.0028198079053878005,0.9971786736852285,2.021797460344396,0.0,0.0,0.0,1,0.32907001841533284
5,21.32203483581543,0.9999984815906163,0.0009979677742190125,0.9990005138163973,2.1434448782009716,0.0,0.0,0.0,1,0.3596824074540554
5,31.823041915893555,0.9999984815906163,0.00045862536267665595,0.9995398562279397,2.233674650364537,0.0,0.0,0.0,1,0.49184601662003313
5,47.49574661254883,0.9999984815906163,0.0002933113138938313,0.9997051702767225,2.2985943793011026,0.0,0.0,0.0,1,-9.676085306331572e-07
5,70.88719177246094,0.9999984815906163,0.00021212808138509656,0.9997863535092313,2.3442874757217225,0.0,0.0,0.0,1,-1.106137565431986e-06
5,105.79882049560547,0.9999984815906163,0.00016967432170533758,0.999828807268911,2.375952401019712,0.0,0.0,0.0,1,-2.4468027820523375e-06
6,0.010579882189631462,0.9999774779352334,0.9999760235598847,1.4543753487084032e-06,0.01259814621502278,0.0,0.0,0.0,1,6.196214928011479e-05
6,0.01579042710363865,0.9999774779352334,0.99997531530117,2.162634063385127e-06,0.018451007643305487,0.0,0.0,0.0,1,0.25276620885281526
6,0.023567141965031624,0.9999774779352334,0.9999742496612115,3.2282740218825268e-06,0.026878787360396412,0.0,0.0,0.0,1,1.9102843851870333e-05
6,0.03517385199666023,0.9999774779352334,0.9999726222206176,4.8557146158367814e-06,0.0389071875410359,0.0,0.0,0.0,1,-0.07652591086069996
6,0.05249682068824768,0.9999774779352334,0.9999700800416799,7.397893553529045e-06,0.05591084604122746,0.0,0.0,0.0,1,-0.01539461747090215
6,0.07835126668214798,0.9999774779352334,0.9999659769787166,1.1500956516807825e-05,0.07973811745336407,0.0,0.0,0.0,1,0.20384988913755858
6,0.11693891882896423,0.9999774779352334,0.9999588817959686,1.8596139264803746e-05,0.11291431319671293,0.0,0.0,0.0,1,0.010161372821751724
6,0.17453081905841827,0.9999774779352334,0.9999456841464696,3.179378876383421e-05,0.15889879105464205,0.0,0.0,0.0,1,0.21408884744103823
6,0.2604864537715912,0.9999774779352334,0.9999184801430523,5.899779218110357e-05,0.22223362810209332,0.0,0.0,0.0,1,-1.7857334122517443e-07
6,0.38877490162849426,0.9999774779352334,0.9998536697054113,0.0001238082298220533,0.30831213317855655,0.0,0.0,0.0,1,0.10686498388404381
6,0.580244779586792,0.9999774779352334,0.9996678968318768,0.00030958110335654876,0.42255465217216465,0.0,0.0,0.0,1,0.059192781074791534
6,0.8660127520561218,0.9999774779352334,0.998977352291805,0.00100012564342844,0.5689524081174124,0.0,0.0,0.0,1,0.22356928730475345
6,1.2925201654434204,0.9999774779352334,0.9956985545014504,0.0042789234337829996,0.7481054145388907,0.0,0.0,0.0,1,1.2856624482027179e-05
6,1.929080605506897,0.9999774779352334,0.976292308612241,0.02368516932299236,0.9552182806892769,0.0,0.0,0.0,1,1.0282994443056026e-05
6,2.8791441917419434,0.9999774779352334,0.8354643237885657,0.16451315414666767,1.1791806010214407,0.0,0.0,0.0,1,0.26927825349491674
6,4.297110080718994,0.9999774779352334,0.347733160341161,0.6522443175940724,1.4041252016794754,0.0,0.0,0.0,1,0.25238321032637695
6,6.413417339324951,0.9999774779352334,0.062062495751611435,0.9379149821836219,1.6135679364869868,0.0,0.0,0.0,1,0.24249004682650038
6,9.571996688842773,0.9999774779352334,0.011220895486559196,0.9887565824486741,1.7950547180334775,0.0,0.0,0.0,1,0.24431968705468954
6,14.286163330078125,0.9999774779352334,0.002887979300999869,0.9970894986342336,1.9426845153704844,0.0,0.0,0.0,1,0.2446802225537989
6,21.32203483581543,0.9999774779352334,0.0010202281920691381,0.9989572497431642,2.0566840586751844,0.0,0.0,0.0,1,0.2297131344884515
6,31.823041915893555,0.9999774779352334,0.0004774120046415805,0.9995000659305918,2.141214496955059,0.0,0.0,0.0,1,0.24735960879904478
6,47.49574661254883,0.9999774779352334,0.00029931677272899184,0.9996781611625044,2.202022583561478,0.0,0.0,0.0,1,0.029559268775884884
6,70.88719177246094,0.9999774779352334,0.00021425231485506835,0.9997632256203783,2.244817160101982,0.0,0.0,0.0,1,0.24735960879904478
6,105.79882049560547,0.9999774779352334,0.0001705281679787826,0.9998069497672546,2.27447150386885,0.0,0.0,0.0,1,0.0002346133526698324
7,0.010579882189631462,0.9999627645554887,0.9999701112371574,-7.346681668685129e-06,0.09903348291906441,0.0,0.0,0.0,1,0.2493480790542852
7,0.01579042710363865,0.9999627645554887,0.9999715440037443,-8.779448255613609e-06,0.12711826295804624,0.0,0.0,0.0,1,-0.00016599409902418039
7,0.023567141965031624,0.9999627645554887,0.9999724662314555,-9.701675966811152e-06,0.15713316210895464,0.0,0.0,0.0,1,0.2873967296903433
7,0.03517385199666023,0.9999627645554887,0.9999727933800149,-1.0028824526164826e-05,0.18712182769281568,0.0,0.0,0.0,1,0.417391560195266
7,0.05249682068824768,0.9999627645554887,0.9999721350058473,-9.370450358536786e-06,0.2155703790459074,0.0,0.0,0.0,1,0.33301027206958356
7,0.07835126668214798,0.9999627645554887,0.9999698866848656,-7.122129376924136e-06,0.24214456407909205,0.0,0.0,0.0,1,0.2610165075655503
7,0.11693891882896423,0.9999627645554887,0.9999648959281837,-2.131372695002298e-06,0.2682028097639697,0.0,0.0,0.0,1,0.44636205117553246
7,0.17453081905841827,0.9999627645554887,0.9999544060048481,8.358550640630291e-06,0.29718904628963244,0.0,0.0,0.0,1,-3.375007169537092e-05
7,0.2604864537715912,0.9999627645554887,0.9999315659209221,3.119863456657601e-05,0.33503031829880925,0.0,0.0,0.0,1,-0.08808895882536885
7,0.38877490162849426,0.9999627645554887,0.999875130244712,8.763431077674078e-05,0.3901494731545083,0.0,0.0,0.0,1,-0.0032307808078775035
7,0.580244779586792,0.9999627645554887,0.9997088335800017,0.0002539309754869823,0.4721750772360603,0.0,0.0,0.0,1,-0.018377452970706587
7,0.8660127520561218,0.9999627645554887,0.9990980424727683,0.0008647220827203705,0.5890736919861961,0.0,0.0,0.0,1,7.137167123139054e-05
7,1.2925201654434204,0.9999627645554887,0.9960395239617462,0.003923240593742494,0.7438807893142337,0.0,0.0,0.0,1,-0.010674281290884768
